Gene,t_0m_total_readcount_donor1_rep1,t_15m_total_readcount_donor1_rep1,t_30m_total_readcount_donor1_rep1,t_60m_total_readcount_donor1_rep1,t_90m_total_readcount_donor1_rep1,t_105m_total_readcount_donor1_rep1,t_120m_total_readcount_donor1_rep1,t_0m_total_readcount_donor1_rep2,t_15m_total_readcount_donor1_rep2,t_30m_total_readcount_donor1_rep2,t_60m_total_readcount_donor1_rep2,t_90m_total_readcount_donor1_rep2,t_105m_total_readcount_donor1_rep2,t_120m_total_readcount_donor1_rep2
ENSG00000247595,216,229,188.3333,211,216,216,173,223,217,161,222,259,260,198
ENSG00000151117,2419,2616,2618,1584,1262,1485,1150,2064,2164,2577,1424,1422,1163,1500
ENSG00000177054,1524,1507,1300,1106,1374,1220,1042,1317.5,1427,481,1108,1548,1348,1708
ENSG00000107560,4624.5,3918,4150,2560.5,3501,3312,2942,3434,4614,1996,2461,3686.5,3804,4378
ENSG00000165669,2155,2145,2077,1293,1647,1950,1590,1780,1839,1202,1323,2314,1820,2345
ENSG00000119973,0,0,0,0,0,0,0,0,0,5,10,0,0,0
ENSG00000151893,16273,14747,15975,10854.1667,13555,14205.5,11448.5,13711,15241.5,10064.3333,12554,15691.5,13931.5,16421.1667
ENSG00000107581,38089.1667,31070.5,36304.7,21034.4167,28225,34226.5,27425.3333,26521.6667,34768,39120,22917,33990.6667,30385.5,40940.9167
ENSG00000049449,11217.1667,9164,10177.1667,6072,7981.5,10027,8149.5,7082.6667,9922,5970.5,5958.6667,9139.5,9270.5,11901.6667
ENSG00000149100,6411,5327,6027,3847,5822.5,5249.5,4692,4586.5,5480,3191,4007,5449,5781.5,7216
ENSG00000110492,1631,1421,1746,946,965,1270,1154,1029,1506,2253,779,915,968,1790.3333
ENSG00000175224,8316.5,7194.8333,8169.5,6097,7107.3333,8173,6493.5,5761.5,6750.5,8144,5437,6413,6513,8286.5
ENSG00000175213,960,1003,1029,572,584,1045,900,756,805,1176,392,839,756,1090
ENSG00000180210,2,4,9,8,1,1,17,3,4,7,0,4,8,5
ENSG00000149179,792.5,553,711,424,561,653,573,509,678,1070.5,407,572.5,577.5,695
ENSG00000149084,8258.5,6735,7570,4778,7645,6917,6046,6188,7713,2981,5644.5,7565,8083,9503.1667
ENSG00000166199,1302,960,1160,702,795,1006.3333,755,755,952,631,570,635,838,1029
ENSG00000187479,1068,1374,1524,2548,1441,2469,1734,1355,1166.3333,3868,1755.5,2879,2000,2580
ENSG00000110455,1477.6667,1247.6667,1344.3333,836,924,1024.5,832,1216.1667,1041.5,2115,898,1046,851.6667,1223
ENSG00000176495,0,2,0,0,0,0,0,0,0,10,0,0,0,0
ENSG00000121671,10201.5,8919.5,9975,7679,8355,9496.5,7849,6694,7905,13533,6270,7461.5,7567,9386
ENSG00000121653,174.6667,168,224,176,137.3333,206.5,134,140,143,470.5,138,254.1667,112.3333,231
ENSG00000165905,26,30,27,16,1,13,0,17,16,39,0,12,4,17
ENSG00000157613,5,4,2,3,2,0,0,0,4,10,3,3,0,4
ENSG00000149091,11067,10645.5,11898.5,7912.5,7446,10789.5,8259.3333,7288,9029,22565,5339.5,7636,7030,9533.5
ENSG00000166452,920,788.5,787,573,564,727,624,898,900.75,1039.6667,650.5,1044,778,1180
ENSG00000205339,20312.5,16757.1667,18375.5,10185,17555.5,15732,15259.5,13082.5,19928.1667,6943.8333,11705.5,15449.5,17806.5,21475.3333
ENSG00000166478,2857,2623.5,2767,1640,1859,2042,1719,1738,2466,1256,1452,1746,1705.5,2554
ENSG00000166483,158,127,146,81,112,137,102,150,136,134,120,188,116,133
ENSG00000133789,18260.8333,17242,17495.5,12842.5,14765.5,18108,16824.5,16124.5,17681.5,14962.5,14287,19685.3333,16830.7,24170.2
ENSG00000179826,33,18,36.75,23,21.3333,45,29,18,13,22.7778,10,19,28.25,44
ENSG00000179817,2,0,2,0,0,0,3,NA,NA,NA,NA,NA,NA,NA
ENSG00000173432,39,29,33,21,24,44,15,20,28,47,26,30,1.5,17
ENSG00000110768,5777,4877,5180,2819,3953,4355,3790,3614,4948,2256.5,3086,3670,4216,5389
ENSG00000134333,48828.6667,39103.1667,40421.5,27025.8333,39984.3333,39090.1667,31339.4,35975,45552.8333,18828.3333,30401.8333,42171,46325.5,55290.8333
ENSG00000109991,0,1,0,3,2,1,0,0,2,0,0,0,0,0
ENSG00000186907,285,280.5,368.5,239,199,285,235,198,287,709,138,212,267,286
ENSG00000214872,213,140,89,20,95,93,107,96,152,207,24,58,94,93
ENSG00000170946,1247,1011,1258,584,909,786,642,937.5,1232,1130,925,1043,815,1051
ENSG00000109911,1509,1284,1519,881,1165,1026,729,1126,1453,559,1052,985,1047,1167
ENSG00000285283,4961,3930.5,4523,2502,3387.5,4363.5,3305.5,2823,4465.5,2452,2386.1667,4308,4042,5489.3333
ENSG00000182450,11,4,5,5,1,10,0,8,2,54,8,19,10,1
ENSG00000219435,4,1,3,0,2,0,0,5,0,0,0,0,0,0
ENSG00000162227,902,1016,1021,1092,487,903,634,964,788,2305.5,755,1021,546,794
ENSG00000185475,6090,4541,5255,2126,4542.5,4729,3938,2616,4381.5,3992,2174.5,2652,3598.5,5074
ENSG00000168003,20858.25,23438.5,22874,21836.6667,15716.5,19608,14211,22056.6667,15471,36434.3333,17615.3333,23791.5,13225,17354
ENSG00000168061,117,160,101,83,60,60,71,123,84,330,96,124,71,82
ENSG00000162300,2546,2174.5,2598,1647,1822,2498,2090.5,1615,2296.5,2605,1508,1824,1938,2807
ENSG00000149823,3380.5,3358,3579,3145,2501.5,3842.5,2983,2670,2395,7882,1879,3534,2423,3435.5
ENSG00000149809,452,499,529,383,368,568,375,458,496,688,355,578,523,700
ENSG00000149792,4662.3333,4168,4247.5,2840.0833,2780.5,3211.5,2802,3118,3885.5,4058,2251,2910,2711,3725.8333
ENSG00000172818,37,36,40,24,23,53,14,15,25,46,32,31,25,28
ENSG00000172803,269,298,262,309,289,371,259,424,336,639,287,614,280,391
ENSG00000172732,3201.5,3141,3183,2679,2121.5,3277,2692,2692,2792,5665,2000,3077,2477,3361.5
ENSG00000172543,62,85,75,24,75,131,53,22,44,79,14,77,46,86
ENSG00000175602,323,410,328,342,122,232,227,380,196,1224,360,295,168,233
ENSG00000181109,12,17,9,1,3,4,8,7,11,16,0,7,6,10
ENSG00000181023,7,19,31,3,15,4,0,10,22,10,29,16,11,8
ENSG00000134460,181620,130538.8333,158996.1667,85386.8333,136040.5,157812.1667,135284.1667,85533.0833,160125.3333,95910.1667,85657.3333,114377,146639.6667,195998.9167
ENSG00000065675,289,194,309,117,252,242,184,184,250,205,168,181,255,263
ENSG00000198879,13141.6667,11704,13124.6667,10494.6667,11791.5,12575.3333,10499.3333,9985.5,11101,13520.75,10164,12415.1667,10263,13705.5
ENSG00000123243,10,11,5,1,9,16,21,4.1667,8,11,5,7,4,14
ENSG00000151657,1792,1516,1507.5,783,1445,1365,1268,1282.5,1694,808,1187,1501,1459,1940
ENSG00000183801,489.5,305,293,182,352,249,225,259,362,174,214,297,296,313
ENSG00000166387,6958.5,6085.6667,6654.3333,3916.5,4928.8333,5762,5229,4089,5873.5,5437,3466.5,4627.3333,4985,6878.8333
ENSG00000175390,8776,7908.5,7968.5,5570,6853.75,8217,6523,5485,7139,5251.5,5307.5,6776,6867.5,9270
ENSG00000166402,3,7,4,2,4,3,3,3,4,0,0,4,0,2
ENSG00000166441,17684.8333,14698.5,15707,10072,12501,15271.5,11971.5,10845,16933.5,10947.6667,9828.5,15819.3333,15070.5,20182
ENSG00000130592,20002.4333,17525.6833,20322.3667,12987.3667,12298.2333,18155.7,13889.3333,13296.5,17084.0667,40089.7667,11398.8333,15926.6,14541.5333,20329.8333
ENSG00000130595,2,11,5,6,3,8,4,0,4,35,2,12,13,8
ENSG00000214026,764.8333,770,726.6667,619.5,497,854.3333,490,576.5,567.1667,1274.6667,394.3333,711.1667,453.1667,564.3333
ENSG00000064201,9,25,45,32,20,25,5,18,17,78,15,42,7,35
ENSG00000110651,20750,20334,19873.5,19473.5,18603,23467.5,16560,18202.5,16175.4,32633,16365.3333,23534,17608.5,23309.5
ENSG00000203791,827,835,796,632,611,608,697,850,725.1667,511,690.5,1048,677.5,871
ENSG00000175029,11683.1667,10248,10612.5,7962,10046.5,11618,9503.5,9570,9641.3333,13836.5,7645.5,11605.8333,10150.5,12408
ENSG00000154485,98,60,120,48,114,75,71,83,104,27,92,118,95,112
ENSG00000188690,3030,2785.5,2775,1521.5,2215,2600,2135,1943,2521.5,2136,1439.5,2133,2029,2708.7
ENSG00000176971,1,0,2,3,0,0,0,1,7,2,0,0,0,0
ENSG00000129151,3,0,0,0,0,1,0,1,0,11,0,2,0,3
ENSG00000169519,815.5,627,774.8333,506.5,625,610,556,650,810.5,306.5,605.5,794,609,671.1667
ENSG00000152219,3203.5,2540.5,2987.5,1477.5,2252.5,1962,1844.5,2099,2905.5,1186,1865.5,2327,2489,2931.5
ENSG00000197702,84,71,96,58,68,91,85.5,37,76,69,31,32,80,103
ENSG00000187079,13,19,27,8,14,9,10,14,20,24,0,7,23,10
ENSG00000189431,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000133794,3870,2947,3676,2130.5,2549.5,2815,2560,2258,3542,1839,2276.6667,2404,2727.5,3427
ENSG00000197601,8536.5,6991.5,7638.5,4455,6529,6125.5,5373,6798.5,7855,2086.5,5981.5,7030.3333,6993,8553
ENSG00000166833,3800.8333,3241,4259,2612,3098,3987,3309,2200,3635,5348.3333,2263,2772,3233,4129
ENSG00000109854,6153,5745,5624,3901,5067,5328,4160,5025,4712,3009,4382,6306,4848,6279
ENSG00000185238,1061,936,960,668.5,708,747,615,835,974.5,453,686,767,759,773
ENSG00000110583,2049,2042,1937,1176,1133,1206,1089,1812,1715.5,2583,1226,1258.5,1074,1314.5
ENSG00000176340,3913,3070,3689,2463,3345,3654,2991,2770,3320,2279,2206,4173,3726,4922
ENSG00000167770,6222.5,5421.5,5924,4520,4816.5,6364,4820,3467,4835.5,6210,3344,4742,4781,6682.5
ENSG00000126500,4,11,7,2,4,3,5,4,7,26,11,0,1,3
ENSG00000168439,12604,9944.5,11952.5,5900,7912,10155.5,8578,6506.8333,11765.3333,8172,5789,7848.5,9076,12457.5
ENSG00000173153,2622,3286.6667,2915.3333,2909.3333,1415.8333,2457.6667,2056.3333,3158.5,2371,6555.3333,2360.6667,3374.3333,1669.5,2481.3333
ENSG00000126432,2649,2438.1667,2744,2096,1959,2629,1879,2298,2223,4034,2113,3597,2283,3063
