Gene,Symbol_donor1_rep1,t_0m_nascent_readcount_donor1_rep1,t_15m_nascent_readcount_donor1_rep1,t_30m_nascent_readcount_donor1_rep1,t_60m_nascent_readcount_donor1_rep1,t_90m_nascent_readcount_donor1_rep1,t_105m_nascent_readcount_donor1_rep1,t_120m_nascent_readcount_donor1_rep1,Symbol_donor1_rep2,t_0m_nascent_readcount_donor1_rep2,t_15m_nascent_readcount_donor1_rep2,t_30m_nascent_readcount_donor1_rep2,t_60m_nascent_readcount_donor1_rep2,t_90m_nascent_readcount_donor1_rep2,t_105m_nascent_readcount_donor1_rep2,t_120m_nascent_readcount_donor1_rep2
ENSG00000100302,RASD2,NA,NA,0,0,0,NA,0,RASD2,0,0,0,NA,0,NA,0
ENSG00000221963,APOL6,174.3951,130.0764,128.8941,89.0103,108.1276,166.95525,131.0616,APOL6,182.4945,152.99886643999997,39.4696,107.8624,149.989,211.19835033000004,167.00355
ENSG00000128313,APOL5,NA,NA,NA,NA,0,NA,NA,APOL5,NA,NA,0,NA,NA,NA,NA
ENSG00000100342,APOL1,160.4691,158.21609999999998,155.18725,149.5755,112.39290027,159.975,115.8119,APOL1,199.8784,126.2847,117.64493878,189.5061,178.11532634,161.09990556999998,169.30984142
ENSG00000100365,NCF4,8.80785,10.53099996,11.883,12.6521,13.87155,7.25625,25.6386,NCF4,12.673,26.2242,15.94835,13.764,5.86395,14.7725,15.9277
ENSG00000130487,KLHDC7B,0,3.0723,0,2.8944,0,9.1516,1.6259,KLHDC7B,2.4,0.2706,21.6778,1.42,2.929,3.5332,0
ENSG00000008735,MAPK8IP2,0,0.868,0,0,0,0.8049999999999999,0,MAPK8IP2,1.1075,0,1.4112,0,0.6074999999999999,0,4.9507
ENSG00000251322,SHANK3,0,1.05,0,0.7556499999999999,0,2.865,2.2412,SHANK3,2.3358,0,12.45,0,2.3004,1.3104,0
ENSG00000198445,CCT8L2,NA,NA,0,0,0,0,NA,CCT8L2,0,NA,NA,NA,NA,0,1
ENSG00000172967,XKR3,NA,NA,NA,NA,NA,0,NA,XKR3,NA,NA,NA,NA,NA,0,NA
ENSG00000183963,SMTN,0,2.8485,0,2.1525,1.064,10.008,0,SMTN,0.6426,1.1484,1.0794,4.384799999999999,0.6708334499999999,1.922,0
ENSG00000185133,INPP5J,0,0,0,2.061,0,0,0,INPP5J,0,0,0,3,0,0,0
ENSG00000138942,RNF185,5.7926,10.66855,4.4491499999999995,5.5704,5.90785,12.3792,13.167,RNF185,6.883,10.4892,14.57575,1.6145,15.614899859999998,9.40355,14.91345
ENSG00000182541,LIMK2,70.305,34.00345,73.2525,35.34475005,62.0598,93.4794,70.0548,LIMK2,41.067,31.158166619999996,67.37985,34.459849999999996,53.2503,70.2744,61.3719
ENSG00000185721,DRG1,8.283199999999999,3.9072,4.7082,7.3573,0,15.8321,2.7118,DRG1,0,3.573,0,0,3.8192,5.7175,1.37125
ENSG00000249624,IFNAR2-IL10RB,221.43879978,132.20786651,86.30673324,213.22216703,147.90621649,160.02296686,101.39328319,IFNAR2-IL10RB,319.0259338,95.47143322,129.204725,128.34358355,198.15436694,122.49755,151.3906
ENSG00000243646,IL10RB,232.0296,143.28,119.39686686,220.64349945,158.25863362,174.01349969999998,104.70520023,IL10RB,357.21454923,103.53025,162.57825,137.69383299,205.01546624,139.23850000000002,171.05200000000002
ENSG00000142166,IFNAR1,212.03585013,155.98425,179.74312214,93.18,171.71376654,185.2599,225.08,IFNAR1,152.51214396,175.39974,258.85999006,235.07021,193.86783,204.41505576,195.29548999999997
ENSG00000275004,ZNF280B,0,2.2197,2.6,0,0.578,0.417,0,ZNF280B,5.3284,2.5286,3.8016,2.2512,0,3.81535,0
ENSG00000169548,ZNF280A,NA,0,0,NA,NA,0,NA,ZNF280A,0,NA,NA,NA,NA,0,0
ENSG00000100416,TRMU,6.565650000000001,5.1003,4.578,0,0.6372,4.515,4.2718,TRMU,3.5352,1.0768,2.2757,8.699399999999999,18.018,2.0502,11.022
ENSG00000075240,GRAMD4,1.9125,0.6748,1.2936,2.7048,1.2276,2.599,0,GRAMD4,3.3803,0.172,10.682,1.6932,6.28,1.1232,2.4816
ENSG00000054611,TBC1D22A,20.13725,26.28555,28.4175,31.5126,11.2955,30.5312,31.1045,TBC1D22A,12.2815,11.66375,20.0252,21.4676,11.025799999999998,20.4282,13.8671
ENSG00000219438,TAFA5,NA,NA,NA,NA,NA,0,NA,TAFA5,NA,NA,NA,NA,NA,0,NA
ENSG00000100426,ZBED4,21.373,9.0045,14.6157,14.4128,9.8685,34.9767,14.9401,ZBED4,17.932199999999998,15.111300000000002,3.6078,11.044,12.8708,16.849,12.835
ENSG00000100029,PES1,14.03091655,15.1468,16.5927,10.696,4.43299995,7.6456,0,PES1,1.8843,4.239949999999999,22.015,7.0848,11.15845,0.30925,17.42
ENSG00000167065,DUSP18,12.32105,9.2684,4.3919999999999995,5.6373,12.5496,9.9158,8.517299999999999,DUSP18,6.33965,5.67,0,9.776,5.0876,4.40325,14.925
ENSG00000133422,MORC2,12.0186,5.1080000000000005,13.4082,1.301,2.586,12.230300000000002,13.365,MORC2,6.6312,4.368,19.500966530000003,4.3945,1.8747,13.068,0
ENSG00000198832,SELENOM,0,2.5116,0,4.1496,1.9341,7.017399999999999,6.9664,SELENOM,0,4.9296,1.3428,11.0768,2.802,0,0
ENSG00000185666,SYN3,NA,NA,NA,NA,NA,NA,NA,SYN3,0,NA,0.3333,1,NA,0,0
ENSG00000133424,LARGE1,0.638,0,5.3454,2.1528,0,0,0,LARGE1,0,0,1.7536,0,0,3.6449,0
ENSG00000100320,RBFOX2,4,0,0,0,0,0,0,RBFOX2,0,0.204,0,0,0,0.3034,0
ENSG00000128311,TST,0,2.3598,0.6941999999999999,1.3731,0,3.3396,3.3968000000000003,TST,0,0,1.4697,1.1172,0,0,5.2514
ENSG00000159128,IFNGR2,95.76666658,142.56080016,105.1706,107.5483335,81.11475,134.25245,95.62218321,IFNGR2,76.83555,124.52895,11.48825,125.0364,113.0932,141.385,166.88055
ENSG00000159140,SON,276.194325,312.50066646,241.26260819,314.7561603,167.8903,310.55326686,243.55925,SON,265.88940021,198.201238,319.67290935,174.41283317999998,152.16492488999998,218.85275849,285.64640016
ENSG00000100351,GRAP2,0,0,0,0.9804,11.7929,0,1.1904,GRAP2,0.9604,0,1.681,0,1.1997,0,0
ENSG00000225528,TMA7B,0.4485,0,0,NA,0,0,NA,TMA7B,2.7297,0,0,0,0,0,0
ENSG00000133477,FAM83F,0,0,0,NA,0,NA,0,FAM83F,NA,NA,NA,NA,0,0,0
ENSG00000100354,TNRC6B,151.01579999999998,101.8691,127.9839,87.8592,87.2235,101.71635,66.1664,TNRC6B,102.20625,125.79600024,13.7445,85.338,116.9115,132.63,109.2825
ENSG00000239900,ADSL,20.20765,36.22905,14.864,25.308,8.624699999999999,16.314,38.2128,ADSL,16.7975,9.5985,27.61725,24.4023,14.4936,22.0131,23.7558
ENSG00000100033,PRODH,0.48025,0,0,0,0.649,NA,0,PRODH,0,NA,0,NA,NA,0.5,0
ENSG00000070413,DGCR2,15.8685,7.90249995,13.9752,15.77235,0,11.2585,8.0845,DGCR2,9.69429993,3.56,12.4986,3.9435,4.72065,17.153850000000002,6.1677
ENSG00000100056,ESS2,2.984,1.6782,6.9445,3.9861,3.227,2.4446,8.424,ESS2,6.303,2.1300999999999997,0,7.13,16.8817,7.0448,4.7833
ENSG00000100075,SLC25A1,105.67055,110.4345,116.1342,97.483,55.6374,112.035,87.5955,SLC25A1,123.7604,62.0444,92.0788,109.0422,223.98764999999997,86.5172,125.3392
ENSG00000100281,HMGXB4,11.4328,0.9687,5.781,9.3678,9.296,8.207999999999998,8.8774,HMGXB4,13.1058,9.2885,0,11.2896,11.12265,6.994,13.52
