Gene,ENSG,logFC,logCPM,F,PValue,FDR
PLAC8,ENSG00000145287,1.415907818522792,6.533181759354273,9.279706239414152,0.008115495062977285,0.5314657846122212
NBPF11,ENSG00000263956,-1.7146100146315497,5.7834769213826425,9.223379741058258,0.008280646576050859,0.5314657846122212
TNFAIP3,ENSG00000118503,1.102899323342288,11.067510041984203,9.215056182463384,0.008290298053740517,0.5314657846122212
H4C9,ENSG00000276180,-3.001786100661624,4.406726190474927,8.968205372653221,0.008608443136504247,0.5314657846122212
CHST7,ENSG00000147119,-1.6279300714269582,5.93474832488088,9.073210776058453,0.008707787528850245,0.5314657846122212
ANKRD13D,ENSG00000172932,-2.2428839081582157,5.003457549881843,9.041229637086234,0.008778424493358418,0.5314657846122212
MOAP1,ENSG00000165943,-1.7311714925188892,5.850410552449912,9.043747561229354,0.008797781724921919,0.5314657846122212
RSPH3,ENSG00000130363,-2.75993059463786,4.534499966392115,8.93278463390722,0.00887558247745812,0.5314657846122212
CEBPD,ENSG00000221869,1.6175995429228955,7.923791877589042,8.968071620062144,0.009014355946539458,0.5314657846122212
TERF2IP,ENSG00000166848,1.6335986454740847,5.902315545318425,8.968731482460207,0.009024164605884698,0.5314657846122212
SH3BP1,ENSG00000100092,-1.3016620546138689,6.716181637247503,8.87051394580406,0.00932146405501473,0.5314657846122212
PSMA6,ENSG00000100902,1.1903733157303147,7.232180936878028,8.833242265331645,0.009440176710295069,0.5314657846122212
OSR2,ENSG00000164920,3.3357059250610797,4.444748104349709,8.636848566923133,0.009473101592368445,0.5314657846122212
LGALS3,ENSG00000131981,1.2751218822269361,7.526820148069599,8.808984989478866,0.009518819533194419,0.5314657846122212
STK11,ENSG00000118046,-2.6279749793298857,7.362244967450641,8.796185289931001,0.009563493829156305,0.5314657846122212
TOX4,ENSG00000092203,1.1793668672041642,7.3313423269336155,8.792044130826495,0.009574558205253915,0.5314657846122212
RNASE1,ENSG00000129538,-1.248686168317513,6.865195185314468,8.769676525521994,0.009649279881132835,0.5314657846122212
RHBDF2,ENSG00000129667,0.9938768665115463,8.692388524716167,8.73128227692468,0.009776222320372717,0.5314657846122212
NA,ENSG00000288708,2.46130480952226,4.781843840761686,8.656327087560486,0.009916420456364702,0.5314657846122212
DENND2D,ENSG00000162777,2.4055366004267427,5.207474025057487,8.634262791600387,0.010091301152523447,0.5314657846122212
PTMS,ENSG00000159335,-2.492563101378832,5.282243402614911,8.63676185077209,0.010096865981397847,0.5314657846122212
CXCL3,ENSG00000163734,1.2806574830259885,6.893562305026696,8.6182754299712,0.010167629489035629,0.5314657846122212
AK3,ENSG00000147853,2.3216587198067007,4.840378666537942,8.575200876387846,0.010245474255094887,0.5314657846122212
KDM6B,ENSG00000132510,0.9797745358907692,9.26533860697037,8.578383780212835,0.010307566888447792,0.5314657846122212
VEZF1,ENSG00000136451,-1.7908846753980003,5.54455060613588,8.58310769859125,0.010310763104970326,0.5314657846122212
LONP1,ENSG00000196365,-1.7161583344960643,6.811548315959633,8.564487306202826,0.010360333672889624,0.5314657846122212
USP42,ENSG00000106346,2.4836859460148832,4.790381479944121,8.48916482267893,0.010509698019599872,0.5314657846122212
RUNX1,ENSG00000159216,0.9430702185972601,10.271393021737616,8.518204313968564,0.010525687115647919,0.5314657846122212
TMEM144,ENSG00000164124,-3.395825983820019,4.075048030515463,8.282640301567229,0.010550254303548104,0.5314657846122212
CEP57L1,ENSG00000183137,-2.633115358849095,4.585655000355482,8.453055000141275,0.010565833241745967,0.5314657846122212
FHL3,ENSG00000183386,-1.674747470012353,5.721442789570588,8.485226506544025,0.01066382268723719,0.5314657846122212
ZCCHC2,ENSG00000141664,-1.3192006745463982,6.443805433268303,8.472588831920797,0.010698279810028076,0.5314657846122212
NA,ENSG00000286070,2.839420641266809,4.633352390994613,8.341098105246328,0.010898111187797049,0.5355333495909564
SIRT2,ENSG00000068903,-2.5743532165232805,4.535827678020316,8.337147743684412,0.011003900791915582,0.5355333495909564
RNPS1,ENSG00000205937,1.4596190693557827,6.371571902121669,8.306283691560548,0.01134302514308544,0.5355333495909564
SAMD4A,ENSG00000020577,1.138981687782666,7.318158085524621,8.268763245209088,0.011489349102863944,0.5355333495909564
TEF,ENSG00000167074,-2.0013393747404593,5.149483370869165,8.25878812329044,0.011543294920305334,0.5355333495909564
HERC3,ENSG00000287542,-3.0263394863204707,4.448997968218862,8.124167259380577,0.011632009562681308,0.5355333495909564
PLEKHG3,ENSG00000126822,-1.4206347027492825,7.126677567502054,8.229548105696207,0.011650182245858433,0.5355333495909564
SACM1L,ENSG00000211456,-1.4048954959126378,6.3450046674537885,8.22900298110674,0.01165589761638257,0.5355333495909564
SLAMF1,ENSG00000117090,1.19041506345306,7.371705932505126,8.201594231325991,0.01176556033427033,0.5355333495909564
TPRG1L,ENSG00000158109,-1.5847933220596442,5.930629316644526,8.18609272807653,0.011841386864486138,0.5355333495909564
PDE8A,ENSG00000073417,-1.2032838152439271,7.182874420284843,8.18116783754168,0.011851255490676315,0.5355333495909564
SETX,ENSG00000107290,-1.1475380302788956,7.330764238761657,8.180859074632624,0.011852313671206234,0.5355333495909564
BCL9L,ENSG00000186174,0.9686978236657853,10.15613010427978,8.160259379325945,0.011938357818197997,0.5355333495909564
MKI67,ENSG00000148773,-1.690781867458474,5.841922789212324,8.073890596526956,0.012326377550817582,0.5488433737626999
RNF11,ENSG00000123091,1.3710231547991163,7.747033493396729,8.017329869545502,0.012563019580543292,0.5519929799877527
BRD10,ENSG00000183354,-1.5113220066277295,6.165599401767583,8.014961125674755,0.01258077495563502,0.5519929799877527
NA,ENSG00000310561,1.8586468274449097,5.704074045410233,7.975128704367477,0.01277475758695256,0.5564425206896509
MRAS,ENSG00000158186,1.1534568148573452,6.967386115583476,7.949433218768212,0.012873534507345318,0.556710905925559
GADD45A,ENSG00000116717,1.7288308046015204,5.551846279607098,7.9093330430130475,0.013080963545393983,0.5586156474305429
MAN1A2,ENSG00000198162,-2.14194032205591,4.909694131544867,7.889379259945564,0.013133409475012129,0.5586156474305429
