Gene,ENSG,logFC,logCPM,F,PValue,FDR
TMSB4Y,ENSG00000154620,-0.3637540949934783,-0.6982633211870646,1.068076129419392,0.3220690067144667,0.6316288173975831
RMI2,ENSG00000175643,-0.37401647746041194,-0.6994070054428104,1.0677706409933825,0.3221353186399729,0.6316288173975831
EVI2A,ENSG00000126860,-0.18614783026282086,2.922871359278345,1.06751210244475,0.32218914504536666,0.6316288173975831
RAB8B,ENSG00000166128,0.15507474482679054,7.651013102750703,1.0673101114689558,0.3222330094656174,0.6316288173975831
SLCO4C1,ENSG00000173930,-0.6665339755648967,-2.0226462312154934,1.0673066555657729,0.3222612981203212,0.6316288173975831
TRMT12,ENSG00000183665,-0.21227214347418513,2.5823939790686348,1.067106033990999,0.32227738790457783,0.6316288173975831
ITGAV,ENSG00000138448,-0.17415185157139115,9.818938966103815,1.0670409259846751,0.3222914928789772,0.6316288173975831
LZTS2,ENSG00000107816,-0.17447116296070972,4.433221802474518,1.0668944070553192,0.3223233333384832,0.6316288173975831
EIF5A,ENSG00000132507,0.14754477312555742,7.636945597809512,1.0668183142353451,0.32233986916723534,0.6316288173975831
THAP2,ENSG00000173451,-0.23329198943082458,1.4052234367293912,1.0649976570244484,0.3227361038887938,0.6322549600135877
MIS12,ENSG00000167842,-0.188124773659155,3.9492377216076675,1.0649146666667837,0.32275398296673286,0.6322549600135877
RNPC3,ENSG00000185946,-0.15234089062403414,5.049708990093023,1.0647325999576687,0.32279362698117997,0.6322549600135877
ZNF16,ENSG00000170631,-0.20265683088253367,1.9033551745748198,1.063608032475532,0.32303880102099325,0.6326337377514177
CEBPB,ENSG00000172216,0.3077872927648297,8.684416578875592,1.0634342946655346,0.3230765415618442,0.6326337377514177
G3BP1,ENSG00000145907,-0.14722029636074754,8.215179162069239,1.0626993218073075,0.32323685791738677,0.632823091615054
SELENOH,ENSG00000211450,-0.22956456725821764,3.4381859723555124,1.0625494428546503,0.32326956942568963,0.632823091615054
RHBDL3,ENSG00000141314,-0.35371900983631416,-0.8064988004564254,1.0623873137498214,0.32330758006373406,0.632823091615054
ARMC9,ENSG00000135931,-0.14281424111188756,5.5564302149161175,1.0609862092925513,0.3236109749240126,0.6333292200008511
EVA1B,ENSG00000142694,0.2254940338633358,3.1179554217598175,1.0603665064837204,0.3237464688726708,0.6335066599430329
PABPC1L,ENSG00000101104,0.18809629102217204,2.6818326863896567,1.0596623219496655,0.323900530751175,0.6337203794234535
DET1,ENSG00000140543,-0.1908842134956146,2.3014678304803367,1.0587674326945729,0.32409651902314696,0.6339603101687296
PIP4K2B,ENSG00000276293,-0.14601111450370746,5.07586388403937,1.0586923951096334,0.32411288147247885,0.6339603101687296
RPL10A,ENSG00000198755,0.1461772078043918,6.246854076751467,1.0584382580264737,0.32416855716817194,0.6339814627595635
BMPR2,ENSG00000204217,-0.13702988821841008,6.993758364019426,1.0580250537811462,0.3242591108006587,0.6340608199061871
ATP5MC1,ENSG00000159199,-0.24347842118386345,2.097343702465503,1.0578441727085097,0.3242988682622361,0.6340608199061871
SPTSSA,ENSG00000165389,-0.19216819619067574,3.9146666368179583,1.0573195984743236,0.324413797789433,0.6341977853590078
GSDMD,ENSG00000104518,-0.20532674442992865,6.023098235495052,1.0559098547566097,0.3247232259180223,0.6345908555857479
IFITM3,ENSG00000142089,-0.21406710654499714,9.141145021640726,1.0557487738334739,0.3247586090853676,0.6345908555857479
DENND1A,ENSG00000119522,0.15733338626163842,5.436311372662227,1.0555940750232684,0.3247925960046082,0.6345908555857479
NCOA6,ENSG00000198646,0.18582074134997142,6.89115681304924,1.0555854773827311,0.32479448474750316,0.6345908555857479
C10orf143,ENSG00000237489,-0.3150443638749461,0.3977109215402959,1.0544812914940267,0.32503777064202577,0.6348124573866921
